WEEKDAY,HOUR,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC,DATETIME,DOW,Avg/TnStl,# of Turnstiles,HOUR,DATETIME,TOTAL,Avg/Hr
Wednesday,0,2,CANAL ST_R139_N090_01-00-00,206,743,949,4,237.25,5/30/18 20:00,,,,,,,
Wednesday,0,2,CANAL ST_R139_N090_01-00-01,525,215,740,4,185,5/30/18 20:00,,,,,,,
Wednesday,0,2,CANAL ST_R139_N090_01-00-02,962,113,1075,4,268.75,5/30/18 20:00,,,,,,,
Wednesday,0,2,CANAL ST_R139_N090_01-03-00,1596,87,1683,4,420.75,5/30/18 20:00,,,,,,,
Wednesday,0,2,CANAL ST_R139_N090_01-05-00,695,94,789,4,197.25,5/30/18 20:00,,,,,,,
,,,,,,,,,,Wednesday,261.8,5,0,5/30/18 20:00,5236,1309
Wednesday,2,2,CANAL ST_R139_N089_00-00-00,185,126,311,4,77.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-00-01,75,20,95,4,23.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-00-02,32,11,43,4,10.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-00,32,18,50,4,12.5,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-01,98,18,116,4,29,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-02,345,36,381,4,95.25,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-00,335,5,340,4,85,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-01,125,7,132,4,33,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-02,75,36,111,4,27.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-00,40,94,134,4,33.5,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-01,99,24,123,4,30.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-02,329,42,371,4,92.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-00-00,36,139,175,4,43.75,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-00-01,106,34,140,4,35,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-00-02,173,19,192,4,48,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-03-00,386,23,409,4,102.25,5/16/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-05-00,86,8,94,4,23.5,5/16/18 0:00,,,,,,,
,,,,,,,,,,Wednesday,47.30882353,17,2,5/16/18 0:00,3217,804.25
Wednesday,2,2,CANAL ST_R139_N089_00-00-00,176,139,315,4,78.75,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-00-01,72,37,109,4,27.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-00-02,36,7,43,4,10.75,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-00,50,7,57,4,14.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-01,106,9,115,4,28.75,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-03-02,341,32,373,4,93.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-00,355,2,357,4,89.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-01,130,1,131,4,32.75,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-04-02,99,26,125,4,31.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-00,44,87,131,4,32.75,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-01,90,39,129,4,32.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N089_00-06-02,317,59,376,4,94,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-00-00,27,130,157,4,39.25,5/23/18 0:00,,,,,,,
Wednesday,2,2,CANAL ST_R139_N090_01-00-01,81,48,129,4,32.25,5/23/18 0:00,,,,,,,
