,index,STATION,DIVISION,DATETIME,HOUR,WEEKDAY,dow,UNIQUEID,ENTRYDIFF,EXITDIFF,TRAFFIC,DURATION,AVG_TRAFFIC
0,19497,JAY ST-METROTEC,BMT,2018-05-12 08:00:00,10,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-00,6.0,12.0,18.0,4.0,4.5
1,19498,JAY ST-METROTEC,BMT,2018-05-12 12:00:00,14,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-00,39.0,39.0,78.0,4.0,19.5
2,19499,JAY ST-METROTEC,BMT,2018-05-12 16:00:00,18,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-00,127.0,98.0,225.0,4.0,56.25
3,19500,JAY ST-METROTEC,BMT,2018-05-12 20:00:00,22,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-00,104.0,66.0,170.0,4.0,42.5
4,19501,JAY ST-METROTEC,BMT,2018-05-13 00:00:00,2,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,51.0,38.0,89.0,4.0,22.25
5,19502,JAY ST-METROTEC,BMT,2018-05-13 04:00:00,6,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,6.0,4.0,10.0,4.0,2.5
6,19503,JAY ST-METROTEC,BMT,2018-05-13 08:00:00,10,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,10.0,12.0,22.0,4.0,5.5
7,19504,JAY ST-METROTEC,BMT,2018-05-13 12:00:00,14,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,26.0,38.0,64.0,4.0,16.0
8,19505,JAY ST-METROTEC,BMT,2018-05-13 16:00:00,18,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,93.0,73.0,166.0,4.0,41.5
9,19506,JAY ST-METROTEC,BMT,2018-05-13 20:00:00,22,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-00,73.0,55.0,128.0,4.0,32.0
10,19507,JAY ST-METROTEC,BMT,2018-05-14 00:00:00,2,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,35.0,20.0,55.0,4.0,13.75
11,19508,JAY ST-METROTEC,BMT,2018-05-14 04:00:00,6,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,10.0,6.0,16.0,4.0,4.0
12,19509,JAY ST-METROTEC,BMT,2018-05-14 08:00:00,10,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,40.0,114.0,154.0,4.0,38.5
13,19510,JAY ST-METROTEC,BMT,2018-05-14 12:00:00,14,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,110.0,518.0,628.0,4.0,157.0
14,19511,JAY ST-METROTEC,BMT,2018-05-14 16:00:00,18,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,213.0,253.0,466.0,4.0,116.5
15,19512,JAY ST-METROTEC,BMT,2018-05-14 20:00:00,22,Monday,0,JAY ST-METROTEC_R089_C003_00-00-00,436.0,207.0,643.0,4.0,160.75
16,19513,JAY ST-METROTEC,BMT,2018-05-15 00:00:00,2,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,144.0,46.0,190.0,4.0,47.5
17,19514,JAY ST-METROTEC,BMT,2018-05-15 04:00:00,6,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,17.0,7.0,24.0,4.0,6.0
18,19515,JAY ST-METROTEC,BMT,2018-05-15 08:00:00,10,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,33.0,105.0,138.0,4.0,34.5
19,19516,JAY ST-METROTEC,BMT,2018-05-15 12:00:00,14,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,128.0,426.0,554.0,4.0,138.5
20,19517,JAY ST-METROTEC,BMT,2018-05-15 16:00:00,18,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,218.0,259.0,477.0,4.0,119.25
21,19518,JAY ST-METROTEC,BMT,2018-05-15 20:00:00,22,Tuesday,1,JAY ST-METROTEC_R089_C003_00-00-00,407.0,203.0,610.0,4.0,152.5
22,19519,JAY ST-METROTEC,BMT,2018-05-16 00:00:00,2,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,93.0,45.0,138.0,4.0,34.5
23,19520,JAY ST-METROTEC,BMT,2018-05-16 04:00:00,6,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,4.0,1.0,5.0,4.0,1.25
24,19521,JAY ST-METROTEC,BMT,2018-05-16 08:00:00,10,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,33.0,124.0,157.0,4.0,39.25
25,19522,JAY ST-METROTEC,BMT,2018-05-16 12:00:00,14,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,118.0,439.0,557.0,4.0,139.25
26,19523,JAY ST-METROTEC,BMT,2018-05-16 16:00:00,18,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,220.0,200.0,420.0,4.0,105.0
27,19524,JAY ST-METROTEC,BMT,2018-05-16 20:00:00,22,Wednesday,2,JAY ST-METROTEC_R089_C003_00-00-00,378.0,175.0,553.0,4.0,138.25
28,19525,JAY ST-METROTEC,BMT,2018-05-17 00:00:00,2,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,91.0,47.0,138.0,4.0,34.5
29,19526,JAY ST-METROTEC,BMT,2018-05-17 04:00:00,6,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,4.0,8.0,12.0,4.0,3.0
30,19527,JAY ST-METROTEC,BMT,2018-05-17 08:00:00,10,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,41.0,108.0,149.0,4.0,37.25
31,19528,JAY ST-METROTEC,BMT,2018-05-17 12:00:00,14,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,121.0,423.0,544.0,4.0,136.0
32,19529,JAY ST-METROTEC,BMT,2018-05-17 16:00:00,18,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,194.0,255.0,449.0,4.0,112.25
33,19530,JAY ST-METROTEC,BMT,2018-05-17 20:00:00,22,Thursday,3,JAY ST-METROTEC_R089_C003_00-00-00,343.0,203.0,546.0,4.0,136.5
34,19531,JAY ST-METROTEC,BMT,2018-05-18 00:00:00,2,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,100.0,47.0,147.0,4.0,36.75
35,19532,JAY ST-METROTEC,BMT,2018-05-18 04:00:00,6,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,6.0,5.0,11.0,4.0,2.75
36,19533,JAY ST-METROTEC,BMT,2018-05-18 08:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,32.0,86.0,118.0,4.0,29.5
37,19534,JAY ST-METROTEC,BMT,2018-05-18 12:00:00,14,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,131.0,396.0,527.0,4.0,131.75
38,19535,JAY ST-METROTEC,BMT,2018-05-18 16:00:00,18,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,247.0,187.0,434.0,4.0,108.5
39,19536,JAY ST-METROTEC,BMT,2018-05-18 20:00:00,10,Friday,4,JAY ST-METROTEC_R089_C003_00-00-00,327.0,162.0,489.0,4.0,122.25
40,19538,JAY ST-METROTEC,BMT,2018-05-12 04:00:00,6,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-01,7.0,8.0,15.0,-160.0,-0.09375
41,19539,JAY ST-METROTEC,BMT,2018-05-12 08:00:00,10,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-01,7.0,11.0,18.0,4.0,4.5
42,19540,JAY ST-METROTEC,BMT,2018-05-12 12:00:00,14,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-01,15.0,28.0,43.0,4.0,10.75
43,19541,JAY ST-METROTEC,BMT,2018-05-12 16:00:00,18,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-01,42.0,68.0,110.0,4.0,27.5
44,19542,JAY ST-METROTEC,BMT,2018-05-12 20:00:00,22,Saturday,5,JAY ST-METROTEC_R089_C003_00-00-01,43.0,54.0,97.0,4.0,24.25
45,19543,JAY ST-METROTEC,BMT,2018-05-13 00:00:00,2,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,15.0,28.0,43.0,4.0,10.75
46,19544,JAY ST-METROTEC,BMT,2018-05-13 04:00:00,6,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,6.0,6.0,12.0,4.0,3.0
47,19545,JAY ST-METROTEC,BMT,2018-05-13 08:00:00,10,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,4.0,7.0,11.0,4.0,2.75
48,19546,JAY ST-METROTEC,BMT,2018-05-13 12:00:00,14,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,7.0,26.0,33.0,4.0,8.25
49,19547,JAY ST-METROTEC,BMT,2018-05-13 16:00:00,18,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,41.0,58.0,99.0,4.0,24.75
50,19548,JAY ST-METROTEC,BMT,2018-05-13 20:00:00,22,Sunday,6,JAY ST-METROTEC_R089_C003_00-00-01,28.0,43.0,71.0,4.0,17.75
51,19549,JAY ST-METROTEC,BMT,2018-05-14 00:00:00,2,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,15.0,22.0,37.0,4.0,9.25
52,19550,JAY ST-METROTEC,BMT,2018-05-14 04:00:00,6,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,3.0,6.0,9.0,4.0,2.25
53,19551,JAY ST-METROTEC,BMT,2018-05-14 08:00:00,10,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,7.0,34.0,41.0,4.0,10.25
54,19552,JAY ST-METROTEC,BMT,2018-05-14 12:00:00,14,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,86.0,274.0,360.0,4.0,90.0
55,19553,JAY ST-METROTEC,BMT,2018-05-14 16:00:00,18,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,189.0,128.0,317.0,4.0,79.25
56,19554,JAY ST-METROTEC,BMT,2018-05-14 20:00:00,22,Monday,0,JAY ST-METROTEC_R089_C003_00-00-01,255.0,86.0,341.0,4.0,85.25
