zip_code,count_over_75K,Station ID,Complex ID,Stop Name,Borough
10023,21990,313,313,72 St,M
11201,20820,24,620,Court St,Bk
11201,20820,25,636,Jay St-MetroTech,Bk
11201,20820,26,26,DeKalb Av,Bk
11201,20820,235,235,York St,Bk
11201,20820,334,334,Clark St,Bk
11201,20820,335,620,Borough Hall,Bk
10025,20660,157,157,96 St,M
10025,20660,308,308,Cathedral Pkwy (110 St),M
10025,20660,309,309,103 St,M
10025,20660,310,310,96 St,M
10128,19380,475,475,96 St,M
10016,19140,403,403,33 St,M
10016,19140,404,404,28 St,M
10011,18970,165,165,23 St,M
10011,18970,166,618,14 St,M
10011,18970,228,228,23 St,M
10011,18970,229,601,14 St,M
10011,18970,320,320,23 St,M
10024,18600,158,158,86 St,M
10024,18600,159,159,81 St-Museum of Natural History,M
10024,18600,311,311,86 St,M
10024,18600,312,312,79 St,M
11215,17710,30,30,Prospect Av,Bk
11215,17710,238,238,Smith-9 Sts,Bk
11215,17710,239,608,4 Av-9 St,Bk
11215,17710,240,240,7 Av,Bk
11215,17710,241,241,15 St-Prospect Park,Bk
10003,17270,15,602,14 St-Union Sq,M
10003,17270,16,16,8 St-NYU,M
10003,17270,17,17,Prince St,M
10003,17270,18,623,Canal St,M
10003,17270,20,20,City Hall,M
10003,17270,117,602,14 St-Union Sq.,M
10003,17270,118,118,3 Av,M
10003,17270,406,602,14 St-Union Sq,M
10003,17270,407,407,Astor Pl,M
10003,17270,412,628,Fulton St,M
10003,17270,413,413,Wall St,M
10003,17270,414,414,Bowling Green,M
11375,16320,260,260,75 Av,Q
11375,16320,261,261,Forest Hills-71 Av,Q
11375,16320,262,262,67 Av,Q
10028,15830,397,397,86 St,M
10028,15830,476,476,86 St,M
10021,15320,223,223,Lexington Av/63 St,M
10021,15320,477,477,72 St,M
10019,14900,9,9,57 St-7 Av,M
10019,14900,10,10,49 St,M
10019,14900,12,607,34 St-Herald Sq,M
10019,14900,116,601,6 Av,M
10019,14900,161,614,59 St-Columbus Circle,M
10019,14900,162,162,50 St,M
10019,14900,167,167,W 4 St-Wash Sq,M
10019,14900,167,167,W 4 St-Wash Sq,M
10019,14900,169,169,Canal St,M
10019,14900,224,224,57 St,M
10019,14900,225,225,47-50 Sts-Rockefeller Ctr,M
10019,14900,226,609,42 St-Bryant Pk,M
10019,14900,227,607,34 St-Herald Sq,M
10019,14900,277,277,7 Av,M
10019,14900,315,614,59 St-Columbus Circle,M
10022,13540,7,613,Lexington Av/59 St,M
10022,13540,275,612,Lexington Av/53 St,M
10022,13540,276,276,5 Av/53 St,M
11234,13200,49,49,Avenue J,Bk
11234,13200,51,51,Kings Hwy,Bk
11234,13200,359,359,Flatbush Av-Brooklyn College,Bk
11238,13160,178,627,Franklin Av,Bk
11238,13160,341,341,Eastern Pkwy-Brooklyn Museum,Bk
10312,12940,514,514,Eltingville,SI
10312,12940,515,515,Annadale,SI
10312,12940,516,516,Huguenot,SI
10014,12430,21,624,Cortlandt St,M
10014,12430,170,624,Chambers St,M
10014,12430,171,624,World Trade Center,M
10014,12430,323,323,Christopher St-Sheridan Sq,M
10014,12430,324,324,Houston St,M
10014,12430,325,325,Canal St,M
10014,12430,331,624,Park Place,M
11209,12240,29,608,4 Av-9 St,Bk
11209,12240,32,32,36 St,Bk
11209,12240,36,36,Bay Ridge Av,Bk
11209,12240,37,37,77 St,Bk
11209,12240,38,38,86 St,Bk
11209,12240,39,39,Bay Ridge-95 St,Bk
10009,12220,119,119,1 Av,M
11211,10710,100,100,Hewes St,Bk
11211,10710,101,101,Marcy Av,Bk
11211,10710,120,120,Bedford Av,Bk
11211,10710,122,122,Graham Av,Bk
11211,10710,286,286,Broadway,Bk
11211,10710,287,287,Flushing Av,Bk
11217,10540,27,617,Atlantic Av-Barclays Ctr,Bk
11217,10540,28,28,Union St,Bk
11217,10540,40,617,Atlantic Av-Barclays Ctr,Bk
11217,10540,41,41,7 Av,Bk
11217,10540,175,175,Hoyt-Schermerhorn Sts,Bk
11217,10540,337,337,Nevins St,Bk
11217,10540,340,340,Grand Army Plaza,Bk
10010,10530,14,14,23 St,M
10010,10530,405,405,23 St,M
11385,10280,108,108,Middle Village-Metropolitan Av,Q
11385,10280,109,109,Fresh Pond Rd,Q
11385,10280,110,110,Forest Av,Q
11385,10280,111,111,Seneca Av,Q
11385,10280,126,126,Jefferson St,Bk
11385,10280,127,127,DeKalb Av,Bk
11385,10280,128,630,Myrtle-Wyckoff Avs,Bk
11385,10280,129,129,Halsey St,Q
10306,10250,508,508,Jefferson Av,SI
10306,10250,509,509,Grant City,SI
10306,10250,510,510,New Dorp,SI
10306,10250,511,511,Oakwood Heights,SI
10065,10110,399,399,68 St-Hunter College,M
11229,9940,50,50,Avenue M,Bk
10463,9920,294,294,238 St,Bx
10463,9920,295,295,231 St,Bx
10463,9920,296,296,Marble Hill-225 St,M
11235,9840,44,44,Church Av,Bk
11235,9840,52,52,Avenue U,Bk
11235,9840,53,53,Neck Rd,Bk
11235,9840,54,54,Sheepshead Bay,Bk
